         891256 function calls (890504 primitive calls) in 2.705 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       68    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
       53    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       53    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
       53    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       68    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       53    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     73/2    0.000    0.000    0.038    0.019 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      677    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
       80    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:403(cached)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
       50    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
    50/49    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
       53    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
     50/2    0.000    0.000    0.038    0.019 <frozen importlib._bootstrap>:651(_load_unlocked)
